date,ht,at,hg,ag,result,h_odds,d_odds,a_odds
2003-09-28,leiria,moreirense,2,1,H,2.0,3.2,3.2
2003-09-28,pacos ferreira,alverca,0,3,A,1.83,3.25,3.75
2003-09-28,sp braga,beira mar,0,2,A,1.66,3.4,4.33
2003-09-29,sporting,gil vicente,1,0,H,1.33,4.33,7.0
2003-10-03,boavista,belenenses,1,1,D,1.72,3.25,4.33
2003-10-04,maritimo,sporting,2,1,H,2.75,3.25,2.2
2003-10-04,moreirense,benfica,1,4,A,3.75,3.25,1.83
2003-10-05,rio ave,pacos ferreira,2,1,H,2.1,3.2,3.0
2003-10-05,nacional,guimaraes,4,2,H,2.1,3.2,3.0
2003-10-05,porto,academica,4,1,H,1.16,5.5,13.0
2003-10-05,beira mar,est amadora,3,0,H,1.66,3.4,4.5
2003-10-05,gil vicente,leiria,2,0,H,2.0,3.2,3.2
2003-10-06,alverca,sp braga,1,2,A,2.2,3.25,2.75
2003-10-17,guimaraes,moreirense,3,0,H,1.9,3.25,3.4
2003-10-18,academica,nacional,0,1,A,2.0,3.2,3.2
2003-10-18,belenenses,porto,1,4,A,4.2,3.5,1.66
2003-10-18,pacos ferreira,boavista,0,3,A,3.4,3.25,1.9
2003-10-19,benfica,gil vicente,2,1,H,1.33,4.33,7.0
2003-10-19,est amadora,alverca,0,3,A,2.1,3.25,3.0
2003-10-19,leiria,maritimo,2,2,D,2.37,3.25,2.5
2003-10-19,sp braga,rio ave,1,1,D,1.5,3.5,6.0
2003-10-20,sporting,beira mar,3,1,H,1.4,3.75,7.0
2003-10-24,pacos ferreira,sp braga,0,1,A,2.5,3.25,2.37
2003-10-25,gil vicente,guimaraes,1,1,D,1.72,3.4,4.0
2003-10-26,moreirense,academica,1,1,D,2.0,3.2,3.2
2003-10-26,alverca,sporting,1,2,A,3.5,3.2,1.9
2003-10-26,beira mar,leiria,4,2,H,1.83,3.25,3.75
2003-10-26,nacional,belenenses,4,0,H,2.0,3.2,3.2
2003-10-26,rio ave,est amadora,3,1,H,1.8,3.2,4.0
2003-10-27,boavista,porto,0,1,A,3.2,3.2,2.0
2003-10-29,academica,benfica,1,3,A,4.0,3.4,1.72
2003-10-31,porto,nacional,1,0,H,1.2,5.0,11.0
2003-11-01,est amadora,pacos ferreira,0,1,A,2.0,3.2,3.2
2003-11-01,guimaraes,maritimo,1,1,D,2.4,3.25,2.5
2003-11-01,sporting,rio ave,1,1,D,1.22,5.0,9.5
2003-11-02,academica,gil vicente,2,1,H,2.2,3.2,2.8
2003-11-02,belenenses,moreirense,0,0,D,1.8,3.3,3.75
2003-11-02,benfica,beira mar,1,2,A,1.4,3.75,7.0
2003-11-02,leiria,alverca,2,1,H,2.1,3.2,3.0
2003-11-03,sp braga,boavista,0,0,D,2.5,3.25,2.4
2003-11-07,gil vicente,belenenses,0,0,D,1.9,3.4,3.25
2003-11-08,maritimo,academica,0,2,A,1.57,3.5,5.0
2003-11-08,sp braga,est amadora,2,1,H,1.44,3.75,6.5
2003-11-08,boavista,nacional,2,1,H,1.57,3.5,5.0
2003-11-09,alverca,benfica,0,3,A,4.0,3.5,1.72
2003-11-09,beira mar,guimaraes,2,2,D,1.5,3.6,5.5
2003-11-09,moreirense,porto,1,1,D,8.0,4.0,1.33
2003-11-09,rio ave,leiria,3,0,H,1.9,3.5,3.2
2003-11-10,pacos ferreira,sporting,1,2,A,4.5,3.5,1.61
2003-11-12,maritimo,benfica,1,1,D,3.0,3.2,2.1
2003-11-28,est amadora,boavista,2,1,H,4.0,3.4,1.72
2003-11-29,belenenses,maritimo,2,2,D,2.2,3.2,2.8
2003-11-30,leiria,pacos ferreira,1,0,H,1.72,3.2,4.33
2003-11-30,nacional,moreirense,3,1,H,1.72,3.2,4.33
2003-11-30,porto,gil vicente,4,1,H,1.2,5.0,11.0
2003-11-30,guimaraes,alverca,2,2,D,2.0,3.2,3.2
2003-11-30,academica,beira mar,0,1,A,2.3,3.25,2.62
2003-12-01,sporting,sp braga,2,0,H,1.5,3.6,5.5
2003-12-01,benfica,rio ave,2,0,H,1.25,4.75,9.0
2003-12-05,maritimo,porto,2,2,D,4.0,3.4,1.72
2003-12-05,boavista,moreirense,1,0,H,1.53,3.5,5.5
2003-12-07,alverca,academica,2,1,H,2.0,3.2,3.2
2003-12-07,est amadora,sporting,1,4,A,5.0,3.5,1.57
2003-12-07,gil vicente,nacional,4,4,D,2.0,3.2,3.2
2003-12-07,pacos ferreira,benfica,0,3,A,5.5,3.5,1.53
2003-12-07,rio ave,guimaraes,1,0,H,2.0,3.2,3.2
2003-12-07,sp braga,leiria,3,1,H,1.66,3.4,4.33
2003-12-08,beira mar,belenenses,2,0,H,1.8,3.25,3.8
2003-12-12,guimaraes,pacos ferreira,1,1,D,1.667,3.25,4.5
2003-12-13,sporting,boavista,1,0,H,1.61,3.5,4.5
2003-12-13,leiria,est amadora,4,1,H,1.571,3.5,5.0
2003-12-13,academica,rio ave,0,0,D,2.2,3.2,2.8
2003-12-13,benfica,sp braga,2,0,H,1.4,3.75,7.0
2003-12-14,porto,beira mar,3,0,H,1.286,4.5,8.5
2003-12-14,moreirense,gil vicente,0,0,D,2.2,3.2,2.8
2003-12-14,belenenses,alverca,2,0,H,2.0,3.2,3.2
2003-12-14,nacional,maritimo,0,1,A,2.25,3.2,2.75
2003-12-19,boavista,gil vicente,0,3,A,1.444,3.75,6.0
2003-12-20,sporting,leiria,2,0,H,1.222,5.0,9.0
2003-12-21,beira mar,nacional,1,0,H,1.667,3.4,4.333
2003-12-21,est amadora,benfica,0,3,A,6.0,3.75,1.444
2003-12-21,pacos ferreira,academica,1,0,H,2.375,3.2,2.625
2003-12-21,rio ave,belenenses,4,1,H,1.909,3.2,3.5
2003-12-21,sp braga,guimaraes,2,1,H,1.615,3.5,4.5
2003-12-21,maritimo,moreirense,1,0,H,1.5,3.4,6.0
2003-12-22,alverca,porto,1,2,A,7.0,3.75,1.4
2004-01-03,belenenses,pacos ferreira,0,2,A,1.615,3.4,4.75
2004-01-04,gil vicente,maritimo,2,1,H,2.375,3.2,2.6
2004-01-04,benfica,sporting,1,3,A,2.1,3.1,3.1
2004-01-04,boavista,leiria,1,0,H,1.667,3.4,4.333
2004-01-04,guimaraes,est amadora,1,0,H,1.615,3.4,4.75
2004-01-04,nacional,alverca,3,0,H,1.833,3.2,3.75
2004-01-04,moreirense,beira mar,3,1,H,2.375,3.2,2.6
2004-01-05,academica,sp braga,0,1,A,2.5,3.1,2.5
2004-01-05,porto,rio ave,1,0,H,1.143,5.5,15.0
2004-01-09,sporting,guimaraes,2,1,H,1.2,5.0,11.0
2004-01-10,maritimo,boavista,0,0,D,2.1,3.2,3.0
2004-01-10,pacos ferreira,porto,0,2,A,7.0,3.75,1.4
2004-01-10,rio ave,nacional,0,0,D,1.83,3.25,3.75
2004-01-11,alverca,moreirense,1,2,A,1.9,3.2,3.5
2004-01-11,est amadora,academica,2,1,H,2.37,3.2,2.62
2004-01-11,leiria,benfica,3,3,D,4.33,3.4,1.66
2004-01-11,sp braga,belenenses,2,1,H,1.72,3.2,4.33
2004-01-12,beira mar,gil vicente,1,1,D,1.66,3.4,4.33
2004-01-16,beira mar,maritimo,2,2,D,2.0,3.2,3.2
2004-01-17,sporting,academica,2,0,H,1.16,5.5,11.0
2004-01-17,sp braga,porto,0,3,A,4.0,3.6,1.66
2004-01-18,alverca,gil vicente,0,0,D,2.25,3.2,2.75
2004-01-18,benfica,boavista,3,2,H,1.57,3.25,5.5
2004-01-18,pacos ferreira,nacional,1,1,D,2.3,3.25,2.62
2004-01-18,rio ave,moreirense,1,1,D,1.9,3.2,3.5
2004-01-19,est amadora,belenenses,2,2,D,2.37,3.25,2.5
2004-01-19,leiria,guimaraes,0,0,D,1.9,3.2,3.5
2004-01-23,maritimo,alverca,1,1,D,1.57,3.5,5.0
2004-01-24,belenenses,sporting,1,3,A,4.5,3.3,1.66
2004-01-24,porto,est amadora,2,0,H,1.1,6.5,17.0
2004-01-25,nacional,sp braga,5,1,H,2.2,3.2,2.8
2004-01-25,moreirense,pacos ferreira,1,0,H,1.8,3.2,4.0
2004-01-25,gil vicente,rio ave,1,2,A,1.8,3.2,4.0
2004-01-25,guimaraes,benfica,0,1,A,4.33,3.4,1.66
2004-01-25,academica,leiria,1,2,A,2.3,3.2,2.62
2004-01-26,boavista,beira mar,1,0,H,1.72,3.4,4.0
2004-01-30,sp braga,moreirense,1,1,D,1.727,3.4,4.0
2004-01-31,sporting,porto,1,1,D,2.4,3.25,2.5
2004-02-01,est amadora,nacional,0,1,A,2.5,3.1,2.5
2004-02-01,guimaraes,boavista,1,1,D,2.5,3.25,2.4
2004-02-15,benfica,porto,1,1,D,2.625,3.0,2.5
2004-02-15,est amadora,gil vicente,1,1,D,2.5,3.1,2.5
2004-02-15,leiria,nacional,0,1,A,2.2,3.2,2.8
2004-02-15,pacos ferreira,beira mar,2,1,H,2.5,3.1,2.5
2004-02-15,sp braga,maritimo,0,0,D,2.1,3.2,3.0
2004-02-16,rio ave,alverca,1,2,A,1.615,3.5,4.5
2004-02-16,guimaraes,belenenses,0,1,A,2.1,3.2,3.0
2004-02-20,beira mar,sp braga,0,2,A,1.909,3.25,3.4
2004-02-21,belenenses,academica,0,5,A,1.909,3.25,3.4
2004-02-21,porto,guimaraes,3,0,H,1.143,6.0,12.0
2004-02-22,alverca,pacos ferreira,2,1,H,2.2,3.25,2.75
2004-02-22,gil vicente,sporting,1,1,D,4.5,3.3,1.667
2004-02-22,maritimo,est amadora,1,0,H,1.286,4.5,8.0
2004-02-22,moreirense,leiria,0,0,D,1.727,3.4,4.0
2004-02-22,nacional,benfica,3,2,H,3.4,3.25,1.909
2004-02-23,boavista,rio ave,1,1,D,1.667,3.3,4.5
2004-02-27,guimaraes,nacional,2,1,H,2.625,3.2,2.3
2004-02-28,belenenses,boavista,1,1,D,2.625,3.1,2.375
2004-02-28,sporting,maritimo,1,0,H,1.364,4.0,7.0
2004-02-29,pacos ferreira,rio ave,1,2,A,2.25,3.2,2.75
2004-02-29,est amadora,beira mar,2,2,D,2.625,3.1,2.375
2004-02-29,leiria,gil vicente,2,2,D,2.0,3.2,3.2
2004-02-29,benfica,moreirense,1,1,D,1.333,4.333,7.0
2004-03-01,academica,porto,0,1,A,6.0,3.75,1.444
2004-03-01,sp braga,alverca,0,0,D,1.667,3.25,4.5
2004-03-05,porto,belenenses,4,1,H,1.167,5.5,12.0
2004-03-06,boavista,pacos ferreira,1,1,D,1.571,3.5,5.0
2004-03-06,beira mar,sporting,0,2,A,3.5,3.2,1.909
2004-03-07,gil vicente,benfica,1,2,A,3.75,3.25,1.833
2004-03-07,maritimo,leiria,2,2,D,1.667,3.4,4.333
2004-03-07,moreirense,guimaraes,1,1,D,1.727,3.4,4.0
2004-03-07,nacional,academica,2,1,H,1.615,3.5,4.5
2004-03-07,alverca,est amadora,3,0,H,1.533,3.4,5.5
2004-03-08,rio ave,sp braga,0,0,D,2.1,3.2,3.0
2004-03-13,belenenses,nacional,0,1,A,2.625,3.3,2.25
2004-03-13,porto,boavista,1,0,H,1.364,3.75,8.0
2004-03-13,sp braga,pacos ferreira,2,1,H,1.533,3.5,5.5
2004-03-14,benfica,maritimo,1,0,H,1.4,3.75,7.0
2004-03-14,est amadora,rio ave,1,4,A,2.5,3.25,2.375
2004-03-14,guimaraes,gil vicente,0,2,A,2.1,3.2,3.0
2004-03-14,leiria,beira mar,2,1,H,2.2,3.2,2.8
2004-03-14,academica,moreirense,0,3,A,2.25,3.2,2.75
2004-03-15,sporting,alverca,2,0,H,1.25,4.5,10.0
2004-03-19,maritimo,guimaraes,1,1,D,1.533,3.6,5.0
2004-03-20,rio ave,sporting,4,0,H,3.6,3.4,1.8
2004-03-21,boavista,sp braga,1,1,D,1.909,3.2,3.5
2004-03-21,beira mar,benfica,0,1,A,3.75,3.25,1.833
2004-03-21,gil vicente,academica,0,1,A,1.8,3.4,3.6
2004-03-21,pacos ferreira,est amadora,1,0,H,1.571,3.5,5.0
2004-03-21,alverca,leiria,1,4,A,2.0,3.2,3.2
2004-03-22,moreirense,belenenses,0,0,D,1.727,3.2,4.333
2004-03-26,academica,maritimo,2,0,H,2.5,3.2,2.5
2004-03-27,nacional,boavista,1,0,H,2.0,3.2,3.2
2004-03-27,sporting,pacos ferreira,1,0,H,1.222,4.5,11.0
2004-03-28,benfica,alverca,2,0,H,1.286,4.5,8.5
2004-03-28,est amadora,sp braga,0,1,A,3.5,3.25,1.909
2004-03-28,guimaraes,beira mar,2,0,H,2.1,3.25,3.0
2004-03-28,leiria,rio ave,1,1,D,2.25,3.2,2.75
2004-03-28,porto,moreirense,1,0,H,1.167,5.5,12.0
2004-03-29,belenenses,gil vicente,2,0,H,2.2,3.2,2.8
2004-04-02,alverca,guimaraes,0,1,A,2.0,3.2,3.2
2004-04-03,boavista,est amadora,1,2,A,1.28,4.5,8.0
2004-04-03,gil vicente,porto,2,0,H,4.5,3.5,1.615
2004-04-04,beira mar,academica,0,0,D,2.0,3.2,3.2
2004-04-04,moreirense,nacional,2,1,H,2.375,3.2,2.625
2004-04-04,pacos ferreira,leiria,1,2,A,2.25,3.2,2.75
2004-04-04,rio ave,benfica,1,1,D,3.0,3.2,2.1
2004-04-04,sp braga,sporting,2,3,A,3.2,3.2,2.0
2004-04-05,maritimo,belenenses,2,0,H,1.727,3.2,4.333
2004-04-09,moreirense,boavista,2,1,H,2.1,3.2,3.0
2004-04-10,sporting,est amadora,4,0,H,1.111,6.5,15.0
2004-04-10,nacional,gil vicente,2,1,H,1.667,3.4,4.333
2004-04-10,porto,maritimo,1,0,H,1.25,4.5,10.0
2004-04-10,guimaraes,rio ave,2,0,H,2.25,3.2,2.75
2004-04-10,benfica,pacos ferreira,2,1,H,1.2,5.5,9.0
2004-04-10,academica,alverca,4,0,H,2.1,3.2,3.0
2004-04-10,leiria,sp braga,2,2,D,2.375,3.1,2.625
2004-04-12,belenenses,beira mar,1,0,H,1.72,3.4,4.0
2004-04-14,nacional,porto,0,0,D,3.4,3.25,1.9
2004-04-17,boavista,sporting,2,1,H,4.0,3.4,1.727
2004-04-17,est amadora,leiria,0,0,D,2.75,3.2,2.25
2004-04-17,sp braga,benfica,0,3,A,3.4,3.25,1.909
2004-04-18,alverca,belenenses,1,0,H,2.2,3.2,2.8
2004-04-18,beira mar,porto,0,0,D,4.333,3.4,1.667
2004-04-18,gil vicente,moreirense,1,0,H,2.0,3.2,3.2
2004-04-18,pacos ferreira,guimaraes,1,0,H,2.375,3.2,2.625
2004-04-18,rio ave,academica,3,2,H,1.833,3.25,3.75
2004-04-19,maritimo,nacional,2,0,H,2.375,3.0,2.75
2004-04-23,gil vicente,boavista,0,1,A,2.1,3.0,3.2
2004-04-24,leiria,sporting,1,0,H,4.33,3.4,1.66
2004-04-24,benfica,est amadora,3,1,H,1.1,7.0,13.0
2004-04-25,academica,pacos ferreira,3,2,H,1.8,3.25,3.75
2004-04-25,belenenses,rio ave,3,0,H,1.66,3.4,4.33
2004-04-25,porto,alverca,1,0,H,1.2,5.5,9.0
2004-04-26,guimaraes,sp braga,1,0,H,2.0,3.2,3.2
2004-05-02,alverca,nacional,2,1,H,1.72,3.5,3.75
2004-05-02,beira mar,moreirense,1,0,H,2.25,3.25,2.7
2004-05-02,est amadora,guimaraes,0,1,A,5.0,3.8,1.5
2004-05-02,leiria,boavista,2,0,H,2.3,3.25,2.62
2004-05-02,maritimo,gil vicente,2,0,H,1.57,3.4,5.0
2004-05-02,pacos ferreira,belenenses,1,1,D,3.2,3.75,1.83
2004-05-02,sporting,benfica,0,1,A,2.25,3.2,2.75
2004-05-09,benfica,leiria,0,0,D,1.28,4.5,8.0
2004-05-09,porto,pacos ferreira,3,1,H,1.25,4.5,9.5
2004-08-28,belenenses,maritimo,3,0,H,2.25,3.2,2.75
2004-08-28,sporting,gil vicente,3,2,H,1.25,4.5,10.0
2004-08-29,boavista,nacional,1,0,H,1.72,3.4,4.0
2004-08-29,beira mar,benfica,2,3,A,4.33,3.4,1.66
2004-08-29,estoril,rio ave,0,0,D,2.25,3.2,2.75
2004-08-29,penafiel,setubal,1,4,A,1.9,3.2,3.5
2004-08-29,moreirense,guimaraes,0,0,D,1.9,3.2,3.5
2004-08-30,academica,sp braga,2,2,D,2.3,3.25,2.62
2004-09-10,gil vicente,boavista,0,1,A,2.6,3.1,2.4
2004-09-11,leiria,estoril,4,2,H,1.615,3.3,5.0
2004-09-11,benfica,moreirense,2,0,H,1.25,5.0,8.0
2004-09-11,maritimo,penafiel,3,0,H,1.5,3.4,6.0
2004-09-11,sp braga,porto,1,1,D,4.0,3.4,1.727
2004-09-12,nacional,beira mar,2,1,H,1.615,3.5,4.5
2004-09-12,setubal,sporting,2,0,H,4.0,3.2,1.8
2004-09-13,rio ave,belenenses,3,3,D,1.8,3.2,4.0
2004-09-17,boavista,setubal,1,1,D,1.61,3.5,4.5
2004-09-18,porto,estoril,2,2,D,1.16,5.5,11.0
2004-09-19,academica,benfica,0,1,A,4.0,3.4,1.72
2004-09-19,beira mar,gil vicente,1,0,H,1.9,3.2,3.5
2004-09-19,belenenses,leiria,2,1,H,2.1,3.2,3.0
2004-09-19,moreirense,nacional,3,2,H,2.2,3.0,3.0
2004-09-19,penafiel,rio ave,1,1,D,2.5,3.1,2.5
2004-09-20,sporting,maritimo,0,1,A,1.33,4.33,7.0
2004-09-21,sp braga,guimaraes,1,0,H,1.83,3.2,3.75
2004-09-22,porto,leiria,1,1,D,1.25,5.0,8.0
2004-09-24,setubal,beira mar,1,2,A,1.83,3.2,3.75
2004-09-25,guimaraes,porto,0,1,A,3.5,3.2,1.9
2004-09-25,maritimo,boavista,2,1,H,2.25,3.2,2.75
2004-09-26,benfica,sp braga,0,0,D,1.33,4.33,7.0
2004-09-26,gil vicente,moreirense,3,1,H,2.2,3.2,2.8
2004-09-26,leiria,penafiel,1,2,A,1.66,3.4,4.33
2004-09-26,nacional,academica,2,1,H,1.72,3.4,4.0
2004-09-26,rio ave,sporting,0,0,D,3.0,3.2,2.1
2004-09-27,estoril,belenenses,1,0,H,2.37,3.1,2.62
2004-10-01,boavista,rio ave,0,1,A,1.66,3.25,4.5
2004-10-03,moreirense,setubal,2,2,D,2.1,3.2,3.0
2004-10-03,guimaraes,benfica,1,2,A,4.5,3.25,1.66
2004-10-03,academica,gil vicente,2,1,H,2.0,3.2,3.2
2004-10-03,porto,belenenses,3,0,H,1.36,4.0,7.0
2004-10-03,penafiel,estoril,2,1,H,2.1,3.2,3.0
2004-10-04,sporting,leiria,2,2,D,1.44,3.6,6.5
2004-10-05,sp braga,nacional,3,2,H,1.9,3.2,3.5
2004-10-10,beira mar,maritimo,2,2,D,2.1,3.2,3.0
2004-10-15,gil vicente,sp braga,0,1,A,2.4,3.1,2.6
2004-10-16,estoril,sporting,1,4,A,3.5,3.2,1.9
2004-10-16,maritimo,moreirense,1,0,H,1.53,3.5,5.5
2004-10-16,nacional,guimaraes,1,0,H,1.72,3.4,4.0
2004-10-17,rio ave,beira mar,1,1,D,1.83,3.2,3.75
2004-10-17,leiria,boavista,0,3,A,2.25,3.1,2.8
2004-10-17,belenenses,penafiel,4,1,H,1.66,3.4,4.33
2004-10-17,benfica,porto,0,1,A,2.37,3.0,2.75
2004-10-18,setubal,academica,1,0,H,1.66,3.3,4.5
2004-10-22,boavista,estoril,0,0,D,1.44,3.75,6.5
2004-10-23,moreirense,rio ave,0,0,D,2.25,3.2,2.75
2004-10-23,sp braga,setubal,2,3,A,1.72,3.2,4.33
2004-10-23,sporting,belenenses,2,0,H,1.5,3.6,5.5
2004-10-24,academica,maritimo,1,0,H,2.62,3.0,2.5
2004-10-24,beira mar,leiria,0,1,A,1.9,3.25,3.5
2004-10-24,benfica,nacional,2,1,H,1.33,4.33,7.5
2004-10-24,guimaraes,gil vicente,2,1,H,1.8,3.2,4.0
2004-10-24,porto,penafiel,2,0,H,1.2,5.0,11.0
2004-10-30,penafiel,sporting,0,3,A,4.33,3.25,1.72
2004-10-30,nacional,porto,2,2,D,4.33,3.25,1.72
2004-10-31,estoril,beira mar,5,0,H,2.25,3.2,2.75
2004-10-31,rio ave,academica,3,1,H,1.8,3.2,4.0
2004-10-31,belenenses,boavista,1,2,A,2.2,3.2,2.8
2004-10-31,gil vicente,benfica,1,1,D,5.5,3.5,1.5
2004-10-31,leiria,moreirense,0,0,D,1.72,3.4,4.0
2004-11-01,maritimo,sp braga,2,0,H,1.9,3.2,3.5
2004-11-01,setubal,guimaraes,1,0,H,1.8,3.2,4.0
2004-11-05,beira mar,belenenses,3,3,D,2.1,3.2,3.0
2004-11-06,boavista,penafiel,2,1,H,1.44,3.75,6.0
2004-11-06,guimaraes,maritimo,1,1,D,2.37,3.1,2.62
2004-11-07,academica,leiria,0,1,A,2.1,3.2,3.0
2004-11-07,benfica,setubal,4,0,H,1.4,3.75,7.0
2004-11-07,moreirense,estoril,1,2,A,2.0,3.2,3.2
2004-11-07,nacional,gil vicente,0,0,D,1.57,3.5,5.0
2004-11-07,sp braga,rio ave,3,0,H,1.9,3.2,3.5
2004-11-08,porto,sporting,3,0,H,1.72,3.2,4.33
2004-11-12,estoril,academica,0,1,A,1.83,3.25,3.6
2004-11-13,gil vicente,porto,0,2,A,5.0,3.5,1.57
2004-11-13,maritimo,benfica,1,1,D,3.0,3.25,2.1
2004-11-13,penafiel,beira mar,2,1,H,2.25,3.2,2.75
2004-11-13,setubal,nacional,1,0,H,1.8,3.4,3.75
2004-11-13,belenenses,moreirense,3,0,H,1.61,3.5,4.5
2004-11-14,leiria,sp braga,0,0,D,2.25,3.2,2.75
2004-11-14,sporting,boavista,6,1,H,1.61,3.5,4.5
2004-11-15,rio ave,guimaraes,1,1,D,1.8,3.4,3.75
2004-11-19,nacional,maritimo,1,1,D,2.4,3.0,2.7
2004-11-20,beira mar,sporting,2,2,D,3.4,3.25,1.9
2004-11-20,porto,boavista,0,1,A,1.5,3.6,5.5
2004-11-21,sp braga,estoril,2,0,H,1.72,3.4,4.0
2004-11-21,guimaraes,leiria,1,1,D,2.2,3.0,3.0
2004-11-21,gil vicente,setubal,2,1,H,2.7,3.0,2.4
2004-11-21,moreirense,penafiel,2,2,D,2.0,3.2,3.2
2004-11-21,benfica,rio ave,3,3,D,1.33,4.33,7.0
2004-11-22,academica,belenenses,1,1,D,2.2,3.0,3.0
2004-11-26,boavista,beira mar,3,0,H,1.5,3.6,5.5
2004-11-27,belenenses,sp braga,1,2,A,2.1,3.1,3.1
2004-11-28,sporting,moreirense,4,1,H,1.25,5.0,8.0
2004-11-28,rio ave,nacional,4,1,H,1.83,3.1,4.0
2004-11-28,maritimo,gil vicente,1,1,D,1.5,3.6,5.5
2004-11-28,leiria,benfica,1,0,H,3.8,3.25,1.8
2004-11-28,estoril,guimaraes,0,1,A,1.9,3.25,3.4
2004-11-28,penafiel,academica,3,1,H,2.0,3.2,3.2
2004-11-29,setubal,porto,0,1,A,3.2,3.2,2.0
2004-12-03,porto,beira mar,0,1,A,1.25,5.0,8.0
2004-12-04,guimaraes,belenenses,1,0,H,2.0,3.2,3.2
2004-12-04,nacional,leiria,0,3,A,2.1,3.2,3.0
2004-12-05,sp braga,penafiel,0,1,A,1.57,3.5,5.0
2004-12-05,academica,sporting,2,3,A,3.4,3.25,1.9
2004-12-05,moreirense,boavista,1,1,D,4.0,3.2,1.8
2004-12-05,gil vicente,rio ave,3,1,H,2.5,3.0,2.62
2004-12-05,setubal,maritimo,2,0,H,2.1,3.1,3.1
2004-12-06,benfica,estoril,2,1,H,1.28,4.5,8.0
2004-12-10,boavista,academica,1,0,H,1.28,4.5,8.0
2004-12-11,rio ave,setubal,1,0,H,2.1,3.2,3.0
2004-12-11,sporting,sp braga,0,0,D,1.5,3.6,5.5
2004-12-12,beira mar,moreirense,1,3,A,1.66,3.4,4.33
2004-12-12,belenenses,benfica,4,1,H,3.6,3.25,1.83
2004-12-12,estoril,nacional,2,0,H,2.0,3.2,3.2
2004-12-12,penafiel,guimaraes,1,3,A,2.1,3.2,3.0
2004-12-12,leiria,gil vicente,1,1,D,1.61,3.25,5.0
2004-12-17,porto,moreirense,1,0,H,1.2,5.0,11.0
2004-12-18,sp braga,boavista,3,0,H,2.37,3.1,2.62
2004-12-18,benfica,penafiel,1,0,H,1.3,4.33,8.0
2004-12-19,maritimo,rio ave,1,1,D,1.8,3.2,4.0
2004-12-19,gil vicente,estoril,2,0,H,1.8,3.3,3.75
