date,ht,at,hg,ag,result,h_odds,d_odds,a_odds
2003-08-16,academica,sporting,1,2,A,3.4,3.25,1.9
2003-08-17,boavista,benfica,0,0,D,2.75,3.2,2.25
2003-08-17,gil vicente,alverca,0,1,A,1.667,3.4,4.333
2003-08-17,maritimo,beira mar,1,0,H,1.571,3.5,5.0
2003-08-17,moreirense,rio ave,1,0,H,1.8,3.3,3.75
2003-08-17,nacional,pacos ferreira,2,0,H,2.0,3.2,3.2
2003-08-17,porto,sp braga,2,0,H,1.167,5.5,11.0
2003-08-18,guimaraes,leiria,1,0,H,1.727,3.4,4.0
2003-08-22,alverca,maritimo,0,1,A,2.25,3.2,2.75
2003-08-23,benfica,guimaraes,2,0,H,1.4,3.75,7.0
2003-08-23,leiria,academica,0,2,A,1.727,3.4,4.0
2003-08-23,sporting,belenenses,4,2,H,1.364,4.0,7.0
2003-08-24,sp braga,nacional,1,0,H,1.833,3.2,3.75
2003-08-24,pacos ferreira,moreirense,1,0,H,1.727,3.4,4.0
2003-08-24,rio ave,gil vicente,1,1,D,2.1,3.2,3.0
2003-08-25,beira mar,boavista,0,2,A,2.5,3.25,2.4
2003-08-30,boavista,guimaraes,1,0,H,1.667,3.4,4.333
2003-08-30,moreirense,sp braga,0,2,A,1.833,3.4,3.5
2003-08-31,beira mar,alverca,1,0,H,1.909,3.25,3.4
2003-08-31,maritimo,rio ave,1,0,H,1.444,3.75,6.0
2003-08-31,nacional,est amadora,4,0,H,1.727,3.4,4.0
2003-09-01,belenenses,leiria,1,1,D,1.727,3.4,4.0
2003-09-02,porto,sporting,4,1,H,1.66,3.3,4.5
2003-09-03,gil vicente,pacos ferreira,2,0,H,2.0,3.2,3.2
2003-09-12,sp braga,gil vicente,2,1,H,1.83,3.4,3.5
2003-09-13,pacos ferreira,maritimo,0,1,A,2.2,3.2,2.8
2003-09-13,leiria,porto,1,3,A,4.5,3.5,1.61
2003-09-13,est amadora,moreirense,1,2,A,2.1,3.2,3.0
2003-09-13,guimaraes,academica,1,2,A,1.61,3.5,4.5
2003-09-14,benfica,belenenses,3,3,D,1.28,4.5,8.0
2003-09-14,rio ave,beira mar,1,1,D,2.0,3.2,3.2
2003-09-14,sporting,nacional,2,0,H,1.33,4.0,8.0
2003-09-15,alverca,boavista,1,1,D,2.7,3.25,2.25
2003-09-19,maritimo,sp braga,1,1,D,1.66,3.25,4.5
2003-09-20,boavista,academica,0,0,D,1.5,3.4,6.0
2003-09-20,moreirense,sporting,1,0,H,4.0,3.4,1.72
2003-09-21,porto,benfica,2,0,H,1.72,3.2,4.33
2003-09-21,alverca,rio ave,1,0,H,1.83,3.2,3.75
2003-09-21,beira mar,pacos ferreira,4,1,H,2.0,3.2,3.2
2003-09-21,gil vicente,est amadora,5,1,H,1.66,3.25,4.5
2003-09-21,nacional,leiria,0,2,A,1.8,3.25,3.75
2003-09-22,belenenses,guimaraes,2,0,H,1.9,3.2,3.5
2003-09-26,rio ave,boavista,1,2,A,3.0,3.2,2.1
2003-09-27,guimaraes,porto,1,2,A,4.33,3.4,1.66
2003-09-28,academica,belenenses,0,1,A,2.1,3.2,3.0
2003-09-28,benfica,nacional,1,0,H,1.25,5.0,8.5
2003-09-28,est amadora,maritimo,1,0,H,3.0,3.2,2.1
