date,ht,at,hg,ag,result,h_odds,d_odds,a_odds,ht_form_points,ht_form_goals_scored,ht_form_goals_conceded,ht_form_wins,at_form_points,at_form_goals_scored,at_form_goals_conceded,at_form_wins,ht_home_form_points,ht_home_form_goals_scored,at_away_form_points,at_away_form_goals_scored,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_total_matches,ht_form,at_form,ht_attack,at_attack,joint_attack,h2h_dominance,odds_favorite
2020-11-01,gil vicente,guimaraes,1,2,A,3.75,2.8,2.25,5.0,3.0,5.0,1.0,7.0,2.0,2.0,2.0,11.0,9.0,8.0,4.0,4.0,7.0,5.0,16,below avg,average,weak,weak,weak x weak,balanced,away
2020-11-02,boavista,benfica,3,0,H,10.0,6.0,1.25,3.0,6.0,12.0,0.0,15.0,15.0,3.0,5.0,3.0,1.0,10.0,13.0,2.0,6.0,14.0,22,poor,excellent,average,strong,average x strong,away_dominant,away
2020-11-02,sp braga,famalicao,1,0,H,1.36,4.75,8.0,9.0,8.0,5.0,3.0,6.0,9.0,12.0,1.0,10.0,9.0,11.0,11.0,0.0,2.0,0.0,2,average,below avg,above avg,above avg,above avg x above avg,balanced,home
2020-11-06,belenenses,rio ave,0,0,D,3.5,3.2,2.15,3.0,2.0,5.0,0.0,8.0,4.0,4.0,2.0,5.0,3.0,9.0,5.0,6.0,7.0,11.0,24,poor,average,weak,average,weak x average,away_dominant,away
2020-11-07,tondela,santa clara,2,0,H,2.87,3.2,2.5,4.0,3.0,11.0,1.0,7.0,5.0,5.0,2.0,7.0,4.0,7.0,6.0,1.0,1.0,2.0,4,below avg,average,weak,average,weak x average,balanced,balanced
2020-11-07,famalicao,maritimo,2,1,H,2.15,3.25,3.3,6.0,8.0,8.0,1.0,7.0,7.0,7.0,2.0,4.0,7.0,6.0,5.0,0.0,2.0,0.0,2,below avg,average,above avg,average,above avg x average,balanced,home
2020-11-07,guimaraes,sporting,0,4,A,3.8,3.0,2.1,10.0,4.0,2.0,3.0,13.0,13.0,4.0,4.0,6.0,3.0,9.0,7.0,4.0,8.0,19.0,31,good,excellent,average,strong,average x strong,away_dominant,away
2020-11-08,farense,boavista,3,1,H,2.5,3.1,2.9,2.0,6.0,9.0,0.0,5.0,6.0,9.0,1.0,1.0,3.0,4.0,9.0,0.0,0.0,0.0,0,poor,below avg,average,average,average x average,balanced,balanced
2020-11-08,porto,portimonense,3,1,H,1.2,6.5,13.0,7.0,12.0,8.0,2.0,3.0,3.0,7.0,1.0,12.0,14.0,3.0,4.0,8.0,0.0,0.0,8,average,poor,strong,weak,strong x weak,home_dominant,home
2020-11-08,benfica,sp braga,2,3,A,1.57,4.2,5.25,12.0,10.0,5.0,4.0,12.0,8.0,2.0,4.0,15.0,11.0,9.0,11.0,21.0,7.0,6.0,34,good,good,above avg,above avg,above avg x above avg,home_dominant,home
2020-11-08,nacional,gil vicente,2,1,H,2.55,3.0,2.9,6.0,3.0,3.0,1.0,2.0,3.0,7.0,0.0,3.0,4.0,4.0,3.0,8.0,3.0,3.0,14,below avg,poor,weak,weak,weak x weak,home_dominant,balanced
2020-11-27,pacos ferreira,famalicao,2,0,H,2.1,3.2,3.6,7.0,6.0,7.0,2.0,6.0,8.0,8.0,1.0,9.0,8.0,8.0,10.0,1.0,0.0,1.0,2,average,below avg,average,above avg,average x above avg,balanced,home
2020-11-27,tondela,guimaraes,0,2,A,4.33,3.6,1.8,7.0,4.0,9.0,2.0,9.0,4.0,6.0,3.0,10.0,5.0,8.0,5.0,3.0,1.0,6.0,10,average,average,average,average,average x average,balanced,away
2020-11-28,santa clara,porto,0,1,A,6.5,4.25,1.5,4.0,4.0,7.0,1.0,7.0,10.0,9.0,2.0,8.0,8.0,7.0,13.0,0.0,0.0,4.0,4,below avg,average,average,above avg,average x above avg,away_dominant,away
2020-11-28,sporting,moreirense,2,1,H,1.25,5.75,11.0,13.0,15.0,4.0,4.0,5.0,3.0,6.0,1.0,11.0,10.0,4.0,2.0,12.0,4.0,1.0,17,excellent,below avg,strong,weak,strong x weak,home_dominant,home
2020-11-29,sp braga,farense,1,0,H,1.33,5.0,9.0,15.0,11.0,3.0,5.0,5.0,9.0,9.0,1.0,10.0,6.0,1.0,3.0,0.0,0.0,0.0,0,excellent,below avg,strong,above avg,strong x above avg,balanced,home
